All food,Yes
Agave americana (century plant),No
Apples,Yes
Avocado stones (pits),Yes
Bamboo,No
Banana peels,Yes
Bokashi digestate,Yes
Bones: bird,Yes
Bones: chicken,Yes
Bones: duck,Yes
Bones: fish,Yes
Bread,Yes
Broccoli,Yes
Cakes,Yes
Cereals,Yes
Cheese,Yes
Chewing gum,No
Chips,Yes
Citrus fruits,Yes
Clementine Juice,Yes
Clothing tags (with synthetic materials),No
Cockle shells,Yes
Coffee grinds,Yes
Compostable bags,Yes
"Compostable cutlery (made of ""bio-plastic"")",No
Cooked food,Yes
Corn,Yes
Corrugated cardboard boxes,Yes
Crab Shells,Yes
Dairy products hard (cheese,Yes
Dairy products soft (yoghurt,Yes
Defrosted (unfrozen) food,Yes
Disposable face masks,No
Egg cartons,Yes
Egg shells,Yes
Fabric softener sheets,No
Fats & cooking oil,Yes
Fish,Yes
Fish 'n' chip box / paper,Yes
Fish and chip leftovers,Yes
Flour,Yes
Frozen food boxes,No
Frozen foods,Yes
Fruits,Yes
Glossy,No
Glossy magazine paper,Yes
Grapefruit Juice,Yes
Jugalone,Yes
Juice pulp,Yes
Laminated papers,No
Leftover curry,Yes
Lobster shells,Yes
Mandarin Juice,Yes
Mango peels,Yes
Mango stones (pits),Yes
Meat,Yes
Melons,Yes
Metal,No
Milk cartons (including non-dairy containers),No
Newspaper,Yes
Nuts,Yes
Oils,Yes
Onions,Yes
Orange Juice,Yes
Palm fronds,No
Papaya stones (pits),Yes
Paper,Yes
Paper Plate,Yes
Paper soft drink cups,No
Paper soup cups,No
Pasta,Yes
Peaches,Yes
Pears,Yes
Pet,No
Pineapple,Yes
Pizza boxes,Yes
Plantain peels,Yes
Plastic,No
Plastic bags,No
Plastic cups and lids,No
Plastic-lined coffee cups,No
Plate scrapings,Yes
Plums,Yes
Poison Oak,No
Potato,Yes
Puddings,Yes
Pumpkin,Yes
Rice,Yes
Roast chicken/duck carcass,Yes
Salad,Yes
Silica gel packets,No
Tea bags,Yes
To-go coffee cups and lids,No
Tomatoes,Yes
Vacuum cleaner bags,No
Vegetable,Yes
Vegetable peeling,Yes
Water melon,Yes
Waxed cardboard,No
Wood based waste,Yes
Wood treated with preservatives,Yes
Yogurt,Yes
Yucca,No
apples,Yes
apples pumice,Yes
avocado,Yes
bags,No
bananas,Yes
bones,Yes
bran,Yes
buns,Yes
butter),Yes
cereal packets,Yes
cherries,Yes
containers,No
corn on cob,Yes
cups,No
grapefruit,Yes
greens,Yes
human waste,No
kitchen roll,Yes
laminated paper,No
lemons,Yes
limes,Yes
mango,Yes
milk,Yes
milk),Yes
mussel shells,Yes
oats,Yes
olive oil,Yes
oranges,Yes
palm oil,Yes
paper,No
pastry,Yes
peaches,Yes
peanuts,Yes
pears,Yes
pistachio,Yes
plastics,No
plums,Yes
pumpkin,Yes
rock,no
skins,Yes
stalks,Yes
toilet roll,Yes
utensils,No
